Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
311247,29140065,74,9,8,1,126.72,87.12,49.5,115,1,0.067843296,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,75,9,8,1,126.72,87.12,49.5,115,1,0.12768586,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,76,9,8,1,126.72,87.12,49.5,115,1,0.18718436,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,77,9,8,1,126.72,87.12,49.5,115,1,0.24643622,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,78,9,8,1,126.72,87.12,49.5,115,1,0.30696166,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,79,9,8,1,126.72,87.12,49.5,115,1,0.36694795,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,80,9,8,1,126.72,87.12,49.5,115,1,0.42612034,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,81,9,8,1,126.72,87.12,49.5,115,1,0.4842712,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,82,9,8,1,126.72,87.12,49.5,115,1,0.53965074,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,83,9,8,1,126.72,87.12,49.5,115,1,0.60215557,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,90,9,8,1,126.72,87.12,49.5,115,1,1.0,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,74,9,8,1,126.72,87.12,49.5,115,2,0.067556076,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,75,9,8,1,126.72,87.12,49.5,115,2,0.12474227,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,76,9,8,1,126.72,87.12,49.5,115,2,0.18646517,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,77,9,8,1,126.72,87.12,49.5,115,2,0.23773554,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,78,9,8,1,126.72,87.12,49.5,115,2,0.30709165,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,79,9,8,1,126.72,87.12,49.5,115,2,0.3519701,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,80,9,8,1,126.72,87.12,49.5,115,2,0.3992304,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,81,9,8,1,126.72,87.12,49.5,115,2,0.48181084,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,82,9,8,1,126.72,87.12,49.5,115,2,0.5280811,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,83,9,8,1,126.72,87.12,49.5,115,2,0.5049505,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,90,9,8,1,126.72,87.12,49.5,115,2,1.0,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
292498,17736116,74,9,9,0,158.4,95.04,66.0,99,1,0.066210784,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,75,9,9,0,158.4,95.04,66.0,99,1,0.12652233,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,76,9,9,0,158.4,95.04,66.0,99,1,0.18623227,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,77,9,9,0,158.4,95.04,66.0,99,1,0.24386178,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,78,9,9,0,158.4,95.04,66.0,99,1,0.30649066,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,79,9,9,0,158.4,95.04,66.0,99,1,0.366931,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,80,9,9,0,158.4,95.04,66.0,99,1,0.42253342,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,81,9,9,0,158.4,95.04,66.0,99,1,0.47848338,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,82,9,9,0,158.4,95.04,66.0,99,1,0.54208577,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,83,9,9,0,158.4,95.04,66.0,99,1,0.60445684,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
292498,17736116,90,9,9,0,158.4,95.04,66.0,99,1,1.0,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,74,9,9,0,158.4,95.04,66.0,99,2,0.0665278,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,75,9,9,0,158.4,95.04,66.0,99,2,0.12901424,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,76,9,9,0,158.4,95.04,66.0,99,2,0.18037821,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,77,9,9,0,158.4,95.04,66.0,99,2,0.24259771,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,78,9,9,0,158.4,95.04,66.0,99,2,0.31794333,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,79,9,9,0,158.4,95.04,66.0,99,2,0.3524622,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,80,9,9,0,158.4,95.04,66.0,99,2,0.4200721,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,81,9,9,0,158.4,95.04,66.0,99,2,0.4663909,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,82,9,9,0,158.4,95.04,66.0,99,2,0.5263158,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
