Users,Total pulls,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
311247,29140065,9,8,1,126.72,87.12,49.5,115,1,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
80760,2369924,9,8,1,126.72,87.12,49.5,115,2,0.5703587531856499,0,0,0,0,0,1,0,1,0,0,0,0
292498,17736116,9,9,0,158.4,95.04,66.0,99,1,0.5710622095889405,0,0,0,1,0,0,0,0,1,0,0,0
31527,977810,9,9,0,158.4,95.04,66.0,99,2,0.58161206648093,0,0,0,1,0,0,0,0,1,0,0,0
272100,17696242,9,6,1,142.56,87.12,62.7,107,1,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,9,6,1,142.56,87.12,62.7,107,2,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
268126,14674610,9,8,0,174.24,102.96,49.5,101,1,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,9,8,0,174.24,102.96,49.5,101,2,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
234583,12933685,8,8,0,184.8,73.92,66.0,97,1,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,8,8,0,184.8,73.92,66.0,97,2,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
280371,19445419,9.5,9,1,147.84,92.4,66.0,100,1,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
112257,3981050,9.5,9,1,147.84,92.4,66.0,100,2,0.5847358039199227,0,0,0,1,0,0,0,0,0,0,1,0
253897,15979091,9.5,7,0,168.96,95.04,49.5,102,1,0.5859987511274544,0,0,0,0,0,0,1,0,0,0,0,0
90135,4147872,9.5,7,0,168.96,95.04,49.5,102,2,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
311498,19664270,9.5,9.5,1,200.64,63.36,82.5,100,1,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
308607,20892481,9.5,8,1,195.36,92.4,66.0,96,1,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
232638,9897473,9,7,1,126.72,84.48,56.1,110,1,0.5775708813664938,0,1,0,0,0,0,0,1,0,0,0,0
228089,11459675,9,9.5,1,184.8,81.84,69.3,98,1,0.5757278172447416,0,0,0,0,1,0,0,0,0,0,0,0
191511,8043251,7,9,0,142.56,100.32,49.5,103,1,0.5760824642014927,1,0,0,0,0,0,0,0,1,0,0,0
276088,18810099,9.5,9.5,1,147.84,89.76,66.0,104,1,0.5767024701712616,0,0,1,0,0,0,0,0,0,1,0,0
35421,700300,9,6,0,142.56,105.6,62.7,103,1,0.5691731335295692,0,0,0,0,0,0,0,1,0,0,0,0
222340,15550771,9,9.5,1,147.84,89.76,66.0,102,1,0.5747143783397053,0,0,0,0,1,0,0,0,0,0,1,0
211089,14045122,9.5,9.5,1,190.08,71.28,66.0,101,1,0.5772081624788502,0,0,0,0,0,1,0,0,0,1,0,0
183921,20981813,9.5,9,1,153.12,95.04,59.4,101,1,0.5831575302757022,0,0,0,1,0,0,0,0,0,0,1,0
